k W
2.818382999999999826e-03 1.961002795964056520e-13
2.851017999999999868e-03 2.053417587787191686e-13
2.884031999999999915e-03 2.150187755333723611e-13
2.917427000000000215e-03 2.251517926431822374e-13
2.951209000000000211e-03 2.357623298979556990e-13
2.985382999999999874e-03 2.468728726661275528e-13
3.019951999999999793e-03 2.585070365272171541e-13
3.054920999999999939e-03 2.706894203613356643e-13
3.090294999999999848e-03 2.834459233982651517e-13
3.126078999999999924e-03 2.968035522809300788e-13
3.162278000000000137e-03 3.107906763412376359e-13
3.198895000000000211e-03 3.254369036528478638e-13
3.235936999999999928e-03 3.407733257215578392e-13
3.273406999999999879e-03 3.568324923238859271e-13
3.311310999999999942e-03 3.736484014538184583e-13
3.349654000000000086e-03 3.912567674499294539e-13
3.388442000000000190e-03 4.096948838902934530e-13
3.427677999999999975e-03 4.290019106584795516e-13
3.467369000000000093e-03 4.492187311880660159e-13
3.507519000000000175e-03 4.703882358735285247e-13
3.548134000000000097e-03 4.925553443857275913e-13
3.589218999999999830e-03 5.157670319521839843e-13
3.630781000000000026e-03 5.400725088404199632e-13
3.672822999999999973e-03 5.655233533567560900e-13
3.715351999999999891e-03 5.921734820328658454e-13
3.758374000000000090e-03 6.200795018865264817e-13
3.801894000000000107e-03 6.493005016907368317e-13
3.845917999999999819e-03 6.798984432859484161e-13
3.890451000000000065e-03 7.119382393383718398e-13
3.935501000000000103e-03 7.454878170134194657e-13
3.981072000000000430e-03 7.806183284770522935e-13
4.027170000000000055e-03 8.174042878751728375e-13
4.073802999999999973e-03 8.559236312205012248e-13
4.120974999999999812e-03 8.962581070835162155e-13
4.168693999999999698e-03 9.384931862412294159e-13
4.216964999999999603e-03 9.827184525916376293e-13
4.265795000000000177e-03 1.029027613242031440e-12
4.315191000000000339e-03 1.077518975100672133e-12
4.365158000000000059e-03 1.128295230802683729e-12
4.415704000000000330e-03 1.181464133362146178e-12
4.466836000000000070e-03 1.237138327957072704e-12
4.518559000000000117e-03 1.295435943613663896e-12
4.570882000000000070e-03 1.356480566171604942e-12
4.623809999999999899e-03 1.420401550353134402e-12
